Country,Sex,2016,2015,2010,2000,means
Russia,Both sexes,26.5,27.5,34.5,47.5,36.166666666666664
Lithuania,Both sexes,25.7,28.8,31.3,46.3,34.43333333333333
Belarus,Both sexes,21.4,21.2,31.9,38.7,30.666666666666668
Kazakhstan,Both sexes,22.8,25.2,32.0,34.9,29.899999999999995
Guyana,Both sexes,30.2,30.3,29.3,26.7,28.733333333333334
Lesotho,Both sexes,28.9,28.5,27.6,26.8,27.766666666666666
Suriname,Both sexes,23.2,24.4,28.3,26.4,25.96666666666667
Ukraine,Both sexes,18.5,19.0,22.6,32.0,24.366666666666664
Latvia,Both sexes,17.2,17.3,18.8,29.7,21.900000000000002
Equatorial Guinea,Both sexes,22.0,22.0,22.2,21.2,21.8
Uganda,Both sexes,20.0,20.2,21.8,22.8,21.53333333333333
Sri Lanka,Both sexes,14.2,14.5,19.2,30.3,21.233333333333334
Republic of Korea,Both sexes,20.2,21.4,28.1,14.2,20.833333333333332
Zimbabwe,Both sexes,19.1,18.9,20.6,21.7,20.46666666666667
Côte d'Ivoire,Both sexes,23.0,22.8,20.7,16.5,20.066666666666666
Cameroon,Both sexes,19.5,19.6,18.7,21.3,19.833333333333332
Hungary,Both sexes,13.6,14.7,19.5,26.1,19.733333333333334
Slovenia,Both sexes,13.3,14.8,15.5,26.0,18.266666666666666
Estonia,Both sexes,14.4,13.3,14.9,25.4,18.233333333333334
Nigeria,Both sexes,17.3,17.5,18.2,18.5,18.0
India,Both sexes,16.5,16.7,17.1,18.7,17.433333333333334
Japan,Both sexes,14.3,15.1,19.0,18.8,17.366666666666664
Finland,Both sexes,13.8,12.4,16.6,21.6,17.333333333333332
Sierra Leone,Both sexes,16.1,15.7,16.0,19.2,17.099999999999998
Belgium,Both sexes,15.7,15.2,16.8,18.8,17.099999999999998
Togo,Both sexes,16.6,16.3,16.9,17.2,16.900000000000002
Mongolia,Both sexes,13.3,13.4,16.1,19.7,16.366666666666667
Eswatini,Both sexes,16.7,16.5,15.5,16.6,16.26666666666667
Rwanda,Both sexes,11.0,11.2,12.5,24.6,16.033333333333335
Eritrea,Both sexes,13.8,14.1,15.0,18.9,15.9
Uruguay,Both sexes,16.5,17.4,14.9,15.9,15.766666666666666
Republic of Moldova,Both sexes,13.4,14.0,18.0,15.6,15.666666666666666
Chad,Both sexes,15.5,15.7,16.3,15.0,15.6
Benin,Both sexes,15.7,15.7,15.5,15.6,15.6
Bolivia (Plurinational State of),Both sexes,12.9,13.1,15.2,18.5,15.533333333333333
Cabo Verde,Both sexes,15.1,15.0,15.8,15.5,15.466666666666667
Kiribati,Both sexes,15.2,15.3,15.3,15.6,15.366666666666667
Burkina Faso,Both sexes,14.8,14.8,14.5,15.6,14.966666666666667
Poland,Both sexes,13.4,13.1,15.5,15.2,14.699999999999998
France,Both sexes,12.1,12.5,14.8,16.9,14.6
Burundi,Both sexes,15.0,14.8,14.9,12.9,14.266666666666666
Nicaragua,Both sexes,11.9,11.9,12.4,18.3,14.200000000000001
Thailand,Both sexes,12.9,13.1,13.0,15.9,13.933333333333332
Croatia,Both sexes,11.5,12.3,13.3,16.8,13.866666666666667
Iceland,Both sexes,13.3,12.9,12.3,16.0,13.866666666666667
Trinidad and Tobago,Both sexes,12.9,12.8,13.5,15.2,13.866666666666665
South Africa,Both sexes,12.8,13.1,13.9,14.4,13.700000000000001
Botswana,Both sexes,11.5,12.0,13.8,15.3,13.533333333333333
Bhutan,Both sexes,11.6,11.9,12.2,16.3,13.366666666666665
Nepal,Both sexes,9.6,10.1,12.2,18.0,13.266666666666666
Austria,Both sexes,11.4,11.5,12.2,16.0,13.200000000000001
El Salvador,Both sexes,13.5,13.9,11.3,14.8,13.200000000000001
Namibia,Both sexes,11.5,11.8,13.5,14.5,13.166666666666666
Switzerland,Both sexes,11.3,11.4,11.3,16.8,13.133333333333335
Serbia,Both sexes,10.9,10.6,11.3,16.8,13.0
Senegal,Both sexes,11.8,12.1,13.1,14.0,12.966666666666667
Central African Republic,Both sexes,11.6,12.1,13.7,12.8,12.699999999999998
Liberia,Both sexes,13.4,12.9,13.2,11.2,12.6
Cuba,Both sexes,10.1,10.0,11.4,15.8,12.433333333333332
Ethiopia,Both sexes,11.4,11.5,12.0,13.7,12.366666666666665
Zambia,Both sexes,11.3,11.2,11.5,14.1,12.299999999999999
Czechia,Both sexes,10.5,10.6,12.3,14.1,12.299999999999999
New Zealand,Both sexes,11.6,11.6,12.2,12.7,12.166666666666666
Kyrgyzstan,Both sexes,9.1,8.8,11.9,15.4,12.133333333333333
Sweden,Both sexes,11.7,12.3,12.0,12.2,11.966666666666667
United States,Both sexes,13.7,13.3,11.8,10.1,11.866666666666667
Micronesia (Federated States of),Both sexes,11.3,11.6,11.6,12.6,11.833333333333334
Congo,Both sexes,9.3,9.5,11.1,14.6,11.666666666666666
Australia,Both sexes,11.7,12.2,11.0,12.2,11.633333333333333
Luxembourg,Both sexes,10.4,11.6,10.3,14.1,11.600000000000001
Slovakia,Both sexes,10.1,10.1,11.4,12.8,11.433333333333332
Ireland,Both sexes,10.9,10.8,11.3,11.8,11.333333333333334
Haiti,Both sexes,12.2,12.2,10.9,10.3,11.133333333333335
Angola,Both sexes,8.9,9.3,10.4,13.9,11.066666666666668
Canada,Both sexes,10.4,10.5,11.1,11.6,11.033333333333333
Norway,Both sexes,10.1,10.2,10.6,12.0,10.9
Chile,Both sexes,9.7,10.0,11.6,11.1,10.799999999999999
South Korea,Both sexes,10.6,10.8,11.6,10.2,10.799999999999999
Guinea,Both sexes,10.5,10.7,11.2,10.6,10.766666666666666
Gambia,Both sexes,10.0,10.1,10.0,12.3,10.766666666666666
China,Both sexes,8.0,8.1,10.0,14.1,10.700000000000001
Mozambique,Both sexes,8.4,8.5,9.5,14.2,10.699999999999998
Lao People's Democratic Republic,Both sexes,9.3,9.3,9.9,12.4,10.533333333333333
Denmark,Both sexes,9.2,8.6,9.3,12.7,10.4
Romania,Both sexes,8.0,9.1,11.5,11.7,10.4
Comoros,Both sexes,11.1,11.1,11.0,8.8,10.3
Bulgaria,Both sexes,7.9,7.9,8.6,14.3,10.266666666666667
United Republic of Tanzania,Both sexes,9.6,9.5,9.3,11.8,10.233333333333333
Dominican Republic,Both sexes,10.5,10.2,9.0,10.9,10.133333333333333
Germany,Both sexes,9.1,9.3,9.8,11.4,10.1
Democratic Republic of the Congo,Both sexes,9.7,9.5,9.5,10.9,10.033333333333333
Paraguay,Both sexes,9.3,9.6,9.3,11.0,9.866666666666667
Yemen,Both sexes,9.8,9.9,10.6,9.1,9.833333333333334
Sudan,Both sexes,9.5,9.5,9.5,9.5,9.5
Singapore,Both sexes,7.9,7.6,8.4,11.7,9.333333333333334
Malawi,Both sexes,7.8,7.6,8.1,11.9,9.266666666666666
Gabon,Both sexes,9.6,9.9,9.2,8.9,9.233333333333333
Timor-Leste,Both sexes,6.4,6.4,7.6,13.6,9.200000000000001
Argentina,Both sexes,9.1,8.7,8.6,9.5,9.066666666666666
Niger,Both sexes,9.0,9.1,9.4,8.8,9.066666666666666
Seychelles,Both sexes,8.3,8.5,9.0,9.4,8.9
Mali,Both sexes,8.9,8.9,8.7,9.0,8.866666666666667
Netherlands,Both sexes,9.6,9.7,8.2,8.3,8.7
Mauritius,Both sexes,7.3,8.1,7.7,10.8,8.6
Solomon Islands,Both sexes,5.9,6.1,7.1,12.7,8.566666666666666
Montenegro,Both sexes,7.9,7.7,8.3,9.4,8.533333333333333
Turkmenistan,Both sexes,7.2,7.5,7.7,9.9,8.266666666666667
Guinea-Bissau,Both sexes,7.4,7.3,7.9,9.2,8.166666666666666
Djibouti,Both sexes,8.5,8.2,7.2,8.6,8.1
Somalia,Both sexes,8.3,8.3,7.6,8.2,8.033333333333333
Myanmar,Both sexes,8.1,8.0,7.9,7.9,7.966666666666666
Ghana,Both sexes,8.7,8.6,7.8,7.2,7.8999999999999995
Costa Rica,Both sexes,7.5,7.5,8.4,7.7,7.866666666666667
Madagascar,Both sexes,6.9,7.0,7.7,8.5,7.7
Portugal,Both sexes,8.6,8.6,8.8,5.3,7.566666666666666
United Kingdom,Both sexes,7.6,7.6,6.9,8.1,7.533333333333334
Turkey,Both sexes,7.2,7.2,8.1,7.3,7.533333333333334
Uzbekistan,Both sexes,7.4,7.4,6.0,9.1,7.5
Samoa,Both sexes,5.4,5.5,6.4,10.7,7.5
Bosnia and Herzegovina,Both sexes,6.4,6.6,6.3,9.7,7.466666666666666
Ecuador,Both sexes,7.2,9.7,8.7,6.3,7.3999999999999995
Colombia,Both sexes,7.0,8.1,7.1,8.0,7.366666666666667
Afghanistan,Both sexes,6.4,6.6,7.4,8.1,7.3
Papua New Guinea,Both sexes,7.0,7.0,6.4,8.4,7.266666666666667
Viet Nam,Both sexes,7.0,7.0,7.1,7.5,7.2
South Sudan,Both sexes,6.1,6.0,6.7,8.0,6.933333333333334
Saint Lucia,Both sexes,7.3,7.3,6.1,7.4,6.933333333333333
Iran (Islamic Republic of),Both sexes,4.0,4.0,5.9,10.7,6.866666666666667
Mauritania,Both sexes,7.5,7.4,6.8,6.2,6.833333333333333
Vanuatu,Both sexes,5.4,5.5,6.2,8.7,6.766666666666667
Malaysia,Both sexes,6.2,6.1,6.3,7.4,6.633333333333333
Belize,Both sexes,5.9,6.1,6.5,7.4,6.6000000000000005
Israel,Both sexes,5.2,4.8,7.2,7.4,6.6000000000000005
Bangladesh,Both sexes,6.1,6.3,6.6,7.0,6.566666666666666
Cambodia,Both sexes,5.9,5.9,6.3,7.3,6.5
Kenya,Both sexes,5.6,5.5,5.7,8.2,6.5
Malta,Both sexes,6.5,7.0,7.0,5.7,6.3999999999999995
Albania,Both sexes,5.6,5.3,7.7,5.8,6.366666666666667
