row_number,level,Nation_fk,Year,Region,Country,All Religions,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
1,3,10000,2010, World, All Countries, 100, 7.1,31.4, 5.9,15.0,< 1.0,23.2,< 1.0,16.4
2,2,1001,2010,North America, All Countries, 100, 1.1,77.4,< 1.0,< 1.0, 1.8, 1.0,< 1.0,17.1
3,2,1002,2010,Latin America-Caribbean, All Countries, 100,< 1.0,90.0, 1.7,< 1.0,< 1.0,< 1.0,< 1.0, 7.7
4,2,1003,2010,Europe, All Countries,****,< 1.0,74.5,< 1.0,< 1.0,< 1.0, 5.9,< 1.0,18.8
5,2,1004,2010,Middle East-North Africa, All Countries, 100,< 1.0, 3.7,< 1.0,< 1.0, 1.6,93.0,< 1.0,< 1.0
6,2,1005,2010,Sub-Saharan Africa, All Countries, 100,< 1.0,62.9, 3.3,< 1.0,< 1.0,30.2,< 1.0, 3.2
7,2,1006,2010,Asia-Pacific, All Countries, 100,11.9, 7.1, 9.0,25.3,< 1.0,24.3, 1.3,21.2
8,1,1,2010,Asia-Pacific,Afghanistan, 100,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,>99.0,< 1.0,< 1.0
9,1,2,2010,Europe,Albania, 100,< 1.0,18.0,< 1.0,< 1.0,< 1.0,80.3,< 1.0, 1.4
10,1,3,2010,Middle East-North Africa,Algeria, 100,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,97.9,< 1.0, 1.8
11,1,4,2010,Asia-Pacific,American Samoa, 100,< 1.0,98.3,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
12,1,5,2010,Europe,Andorra, 100,< 1.0,89.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 8.8
13,1,6,2010,Sub-Saharan Africa,Angola, 100,< 1.0,90.5, 4.2,< 1.0,< 1.0,< 1.0,< 1.0, 5.1
14,1,7,2010,Latin America-Caribbean,Anguilla, 100,< 1.0,90.6, 2.9,< 1.0,< 1.0,< 1.0, 1.6, 4.0
15,1,8,2010,Latin America-Caribbean,Antigua and Barbuda, 100,< 1.0,93.0, 3.6,< 1.0,< 1.0,< 1.0,< 1.0, 1.7
16,1,9,2010,Latin America-Caribbean,Argentina, 100,< 1.0,85.2,< 1.0,< 1.0,< 1.0, 1.0,< 1.0,12.2
17,1,10,2010,Asia-Pacific,Armenia, 100,< 1.0,98.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 1.3
18,1,11,2010,Latin America-Caribbean,Aruba, 100,< 1.0,91.9, 1.3,< 1.0,< 1.0,< 1.0,< 1.0, 6.0
19,1,12,2010,Asia-Pacific,Australia, 100, 2.7,67.3,< 1.0, 1.4,< 1.0, 2.4,< 1.0,24.2
20,1,13,2010,Europe,Austria, 100,< 1.0,80.4,< 1.0,< 1.0,< 1.0, 5.4,< 1.0,13.5
21,1,14,2010,Asia-Pacific,Azerbaijan, 100,< 1.0, 3.0,< 1.0,< 1.0,< 1.0,96.9,< 1.0,< 1.0
22,1,15,2010,Latin America-Caribbean,Bahamas, 100,< 1.0,96.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 3.1
23,1,16,2010,Middle East-North Africa,Bahrain, 100, 2.5,14.5,< 1.0, 9.8,< 1.0,70.3,< 1.0, 1.9
24,1,17,2010,Asia-Pacific,Bangladesh, 100,< 1.0,< 1.0,< 1.0, 8.5,< 1.0,90.4,< 1.0,< 1.0
25,1,18,2010,Latin America-Caribbean,Barbados, 100,< 1.0,95.2,< 1.0,< 1.0,< 1.0,< 1.0, 1.4, 1.9
26,1,19,2010,Europe,Belarus, 100,< 1.0,71.2,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,28.6
27,1,20,2010,Europe,Belgium, 100,< 1.0,64.2,< 1.0,< 1.0,< 1.0, 5.9,< 1.0,29.0
28,1,21,2010,Latin America-Caribbean,Belize, 100,< 1.0,87.6, 1.5,< 1.0, 1.0,< 1.0,< 1.0, 8.9
29,1,22,2010,Sub-Saharan Africa,Benin, 100,< 1.0,53.0,18.1,< 1.0,< 1.0,23.8,< 1.0, 5.0
30,1,23,2010,North America,Bermuda, 100,< 1.0,75.0, 3.0,< 1.0,< 1.0, 1.1,< 1.0,19.4
31,1,24,2010,Asia-Pacific,Bhutan, 100,74.7,< 1.0, 1.9,22.6,< 1.0,< 1.0,< 1.0,< 1.0
32,1,25,2010,Latin America-Caribbean,Bolivia, 100,< 1.0,93.9,< 1.0,< 1.0,< 1.0,< 1.0, 1.0, 4.1
33,1,26,2010,Europe,Bosnia-Herzegovina, 100,< 1.0,52.3,< 1.0,< 1.0,< 1.0,45.2,< 1.0, 2.5
34,1,27,2010,Sub-Saharan Africa,Botswana, 100,< 1.0,72.1, 6.0,< 1.0,< 1.0,< 1.0,< 1.0,20.6
35,1,28,2010,Latin America-Caribbean,Brazil, 100,< 1.0,88.9, 2.8,< 1.0,< 1.0,< 1.0,< 1.0, 7.9
36,1,29,2010,Latin America-Caribbean,British Virgin Islands, 100,< 1.0,84.5, 8.4, 1.2,< 1.0, 1.2,< 1.0, 3.9
37,1,30,2010,Asia-Pacific,Brunei, 100, 8.6, 9.4, 6.2,< 1.0,< 1.0,75.1,< 1.0,< 1.0
38,1,31,2010,Europe,Bulgaria, 100,< 1.0,82.1,< 1.0,< 1.0,< 1.0,13.7,< 1.0, 4.2
39,1,32,2010,Sub-Saharan Africa,Burkina Faso, 100,< 1.0,22.5,15.4,< 1.0,< 1.0,61.6,< 1.0,< 1.0
40,1,33,2010,Sub-Saharan Africa,Burundi, 100,< 1.0,91.5, 5.7,< 1.0,< 1.0, 2.8,< 1.0,< 1.0
41,1,34,2010,Asia-Pacific,Cambodia, 100,96.9,< 1.0,< 1.0,< 1.0,< 1.0, 2.0,< 1.0,< 1.0
42,1,35,2010,Sub-Saharan Africa,Cameroon, 100,< 1.0,70.3, 3.3,< 1.0,< 1.0,18.3, 2.7, 5.3
43,1,36,2010,North America,Canada, 100,< 1.0,69.0, 1.2, 1.4, 1.0, 2.1,< 1.0,23.7
44,1,37,2010,Sub-Saharan Africa,Cape Verde, 100,< 1.0,89.1, 1.5,< 1.0,< 1.0,< 1.0,< 1.0, 9.1
45,1,38,2010,Latin America-Caribbean,Cayman Islands, 100,< 1.0,83.5, 4.5,< 1.0,< 1.0,< 1.0,< 1.0, 9.4
46,1,39,2010,Sub-Saharan Africa,Central African Republic, 100,< 1.0,89.5, 1.0,< 1.0,< 1.0, 8.5,< 1.0, 1.0
47,1,40,2010,Sub-Saharan Africa,Chad, 100,< 1.0,40.6, 1.4,< 1.0,< 1.0,55.3,< 1.0, 2.5
48,1,41,2010,Europe,Channel Islands, 100,< 1.0,85.2,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,14.2
49,1,42,2010,Latin America-Caribbean,Chile, 100,< 1.0,89.4, 1.5,< 1.0,< 1.0,< 1.0,< 1.0, 8.6
50,1,43,2010,Asia-Pacific,China, 100,18.2, 5.1,21.9,< 1.0,< 1.0, 1.8,< 1.0,52.2
51,1,44,2010,Latin America-Caribbean,Colombia, 100,< 1.0,92.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 6.6
52,1,45,2010,Sub-Saharan Africa,Comoros, 100,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,98.3,< 1.0,< 1.0
53,1,46,2010,Sub-Saharan Africa,Republic of the Congo, 100,< 1.0,85.9, 2.8,< 1.0,< 1.0, 1.2, 1.1, 9.0
