measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Slovakia,Both,All Ages,All causes,Rate,2019,499128.0530035198,525102.0690353615,475887.81266961666
Incidence,China,Both,All Ages,All causes,Rate,2019,407089.7733982719,429377.2013505353,387097.22529123287
Incidence,India,Both,All Ages,All causes,Rate,2019,542064.4984523479,570135.9260313286,515954.1043547923
Incidence,Vanuatu,Both,All Ages,All causes,Rate,2019,548313.6756001451,583678.0796449984,516615.112843283
Incidence,Qatar,Both,All Ages,All causes,Rate,2019,489214.7168001785,526693.871190558,454181.5192231372
Incidence,Algeria,Both,All Ages,All causes,Rate,2019,528126.9576648632,561015.9367182463,497264.60449587926
Incidence,Denmark,Both,All Ages,All causes,Rate,2019,515864.7917179109,545867.7584002324,490861.07584259205
Incidence,American Samoa,Both,All Ages,All causes,Rate,2019,526623.6914371058,559582.6614217296,495843.2092117447
Incidence,Haiti,Both,All Ages,All causes,Rate,2019,604944.919826051,646574.6908790646,567616.237818356
Incidence,Albania,Both,All Ages,All causes,Rate,2019,498211.2363532522,524951.3147538727,474406.709984915
Incidence,Niger,Both,All Ages,All causes,Rate,2019,583709.4917894474,619423.346180527,547441.3936370772
Incidence,Burundi,Both,All Ages,All causes,Rate,2019,529750.1110405637,560492.9785198222,501184.48699083587
Incidence,Thailand,Both,All Ages,All causes,Rate,2019,588292.378130903,627998.9862262957,555106.0001270758
Incidence,United Republic of Tanzania,Both,All Ages,All causes,Rate,2019,575411.5506462012,614230.0765982624,538061.2890520481
Incidence,Puerto Rico,Both,All Ages,All causes,Rate,2019,570156.3462093538,598505.1003736737,545176.7164383545
Incidence,Comoros,Both,All Ages,All causes,Rate,2019,581182.4288204404,629133.9717640292,546503.6801294107
Incidence,Bosnia and Herzegovina,Both,All Ages,All causes,Rate,2019,490101.0915200879,515915.3172912019,465734.04819184565
Incidence,Burkina Faso,Both,All Ages,All causes,Rate,2019,590761.2420828254,625957.3950807832,556389.4674927149
Incidence,Somalia,Both,All Ages,All causes,Rate,2019,598934.4265183272,638475.2326375617,560635.1795220327
Incidence,Zambia,Both,All Ages,All causes,Rate,2019,623571.4202808274,665317.8275061747,585700.711635736
Incidence,Timor-Leste,Both,All Ages,All causes,Rate,2019,502835.1119454017,539377.5002346591,469009.1689850059
Incidence,Armenia,Both,All Ages,All causes,Rate,2019,520890.4692110016,550130.4084541886,493698.0876591411
Incidence,Finland,Both,All Ages,All causes,Rate,2019,505723.6294252796,533123.6880801688,481978.3909084271
Incidence,Sri Lanka,Both,All Ages,All causes,Rate,2019,495221.50255832385,527112.8371870478,466817.43389894476
Incidence,San Marino,Both,All Ages,All causes,Rate,2019,493090.8116163511,523235.45484692755,466400.491282895
Incidence,Uganda,Both,All Ages,All causes,Rate,2019,637680.0972045164,685257.0862436089,594642.2372633683
Incidence,Cameroon,Both,All Ages,All causes,Rate,2019,618550.3385724371,659678.2260858606,579975.6826373177
Incidence,Bermuda,Both,All Ages,All causes,Rate,2019,566169.531345279,594616.7198476887,540780.2520588688
