0,1,Apr,Aug,City,Country,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Ref.,Sep,Year
,"This article may be too long to read and navigate comfortably. Please consider splitting content into sub-articles, condensing it, or adding subheadings. (June 2017)",,,,,,,,,,,,,,,,
,,188.0,80.0,Gagnoa,Ivory Coast,164.0,180.0,183.0,97.0,118.0,196.0,181.0,171.0,155.0,[2],110.0,1823.0
,,194.0,82.0,Bouaké,Ivory Coast,198.0,224.0,242.0,104.0,145.0,219.0,208.0,191.0,170.0,[2],115.0,2092.0
,,214.0,125.0,Abidjan,Ivory Coast,224.0,223.0,223.0,137.0,128.0,239.0,205.0,224.0,215.0,[2],139.0,2296.0
,,214.7,174.5,Odienné,Ivory Coast,242.6,220.2,242.0,183.5,221.8,217.3,248.8,252.0,235.8,[3],185.4,2638.6
,,229.0,151.0,Ferké,Ivory Coast,262.0,249.0,279.0,183.0,221.0,253.0,251.0,261.0,245.0,[2],173.0,2757.0
,,219.0,148.8,Cotonou,Benin,223.2,210.0,213.9,136.4,141.0,223.2,213.9,243.0,207.7,[4],165.0,2345.2
,,230.0,104.0,Parakou,Benin,248.0,243.0,261.0,133.0,193.0,252.0,239.0,252.0,217.0,[2],129.0,2501.0
,,255.0,195.3,Kandi,Benin,279.0,257.6,279.0,223.2,252.0,260.4,272.8,282.0,275.9,[5],213.0,3045.2
,,201.9,148.8,Lomé,Togo,235.6,214.0,217.5,141.6,146.0,227.9,208.6,234.0,205.5,[6],152.5,2333.9
,,241.0,131.0,Mango,Togo,279.0,254.0,285.0,168.0,219.0,270.0,261.0,284.0,273.0,[2],161.0,2826.0
,,210.0,155.0,Accra,Ghana,248.0,226.0,217.0,155.0,150.0,217.0,217.0,240.0,217.0,[7],180.0,2432.0
,,229.0,139.0,Tamale,Ghana,263.5,235.7,265.6,171.5,212.0,249.6,248.0,283.0,260.9,[8],161.0,2718.7
,,204.0,77.0,Kumasi,Ghana,178.0,187.2,186.6,101.2,146.3,205.4,204.7,193.8,161.4,[9],106.2,1951.8
,,245.4,187.2,Garoua,Cameroon,286.5,252.6,275.0,194.0,224.4,260.1,256.7,279.2,261.5,[10],204.5,2927.1
,,195.5,127.8,N'Gaoundéré,Cameroon,291.4,258.7,286.4,128.0,165.7,235.4,195.4,264.1,184.0,[11],139.0,2471.4
,,174.0,46.0,Douala,Cameroon,175.0,179.0,184.0,55.0,107.0,170.0,169.0,160.0,120.0,[2],79.0,1618.0
,,153.0,83.0,Yaoundé,Cameroon,179.0,172.0,177.0,85.0,112.0,149.0,158.0,159.0,120.0,[2],97.0,1644.0
,,176.8,90.4,Libreville,Gabon,167.8,176.8,175.2,119.2,130.6,176.9,159.5,134.6,112.9,[12],95.9,1716.6
,,151.5,135.3,Port-Gentil,Gabon,147.2,160.8,150.4,163.1,156.3,154.5,147.8,115.1,116.1,[13],125.7,1723.8
,,180.0,108.5,Lagos,Nigeria,192.2,169.5,164.3,99.2,114.0,173.6,176.7,186.0,167.4,[14],114.0,1845.4
,,216.0,118.0,Makurdi,Nigeria,248.0,226.0,236.0,143.0,177.0,223.0,223.0,228.0,198.0,[15],144.0,2380.0
,,220.0,127.0,Jos,Nigeria,313.0,274.0,307.0,151.0,201.0,260.0,208.0,294.0,242.0,[15],171.0,2768.0
,,252.0,186.0,Kano,Nigeria,285.0,255.0,275.0,233.0,261.0,267.0,273.0,297.0,295.0,[15],237.0,3114.0
,,255.0,208.0,Sokoto,Nigeria,288.0,269.0,279.0,229.0,282.0,282.0,279.0,297.0,307.0,[15],243.0,3238.0
,,312.0,298.0,Port Sudan,Sudan,236.0,230.0,214.0,307.0,309.0,282.0,338.0,249.0,307.0,[15],300.0,3382.0
,,330.0,279.0,Khartoum,Sudan,341.0,311.0,341.0,279.0,300.0,310.0,300.0,330.0,310.0,[16],300.0,3737.1
,,300.5,220.1,Asmara,Eritrea,299.1,289.1,304.7,217.9,271.5,300.7,298.5,292.5,301.0,[17],260.4,3361.0
,,256.0,223.0,Ouagadougou,Burkina Faso,284.0,263.0,287.0,240.0,264.0,264.0,277.0,288.0,273.0,[18],217.0,3136.0
,,268.0,253.0,Ouahigouya,Burkina Faso,280.0,267.0,291.0,258.0,272.0,280.0,284.0,288.0,280.0,[19],261.0,3282.0
,,252.0,235.6,Niamey,Niger,279.0,263.2,297.6,257.3,267.0,269.7,279.0,282.0,282.6,[20],235.6,3203.2
,,273.0,201.5,N'Djamena,Chad,303.8,277.2,297.6,213.9,258.0,282.1,285.2,300.0,285.2,[21],228.0,3205.5
,,300.0,226.3,Abéché,Chad,319.3,291.2,316.2,254.2,300.0,300.7,313.1,312.0,306.9,[22],261.0,3500.9
,,300.0,186.0,Banjul,Gambia,279.0,282.0,279.0,186.0,270.0,310.0,310.0,240.0,248.0,[23],180.0,3070.0
,,301.0,204.0,Dakar,Senegal,249.0,249.0,253.0,233.0,259.0,303.0,299.0,256.0,254.0,[2],219.0,3078.0
,,332.0,188.0,Thiès,Senegal,257.0,260.0,267.0,226.0,276.0,325.0,324.0,271.0,267.0,[2],221.0,3214.0
,,260.0,253.0,Mogadishu,Somalia,259.0,251.0,268.0,226.0,218.0,282.0,273.0,261.0,267.0,[15],265.0,3082.0
,,249.0,238.0,Buloburde,Somalia,268.0,283.0,290.0,216.0,261.0,293.0,287.0,246.0,230.0,[24],262.0,3124.0
,,279.0,276.0,Djibouti City,Djibouti,276.0,249.0,254.0,236.0,237.0,279.0,310.0,291.0,310.0,[25],282.0,3279.0
,,263.0,223.0,Ségou,Mali,287.0,276.0,292.0,254.0,266.0,292.0,274.0,287.0,283.0,[26],242.0,3239.0
,,254.6,255.3,Timbuktu,Mali,258.7,249.6,263.9,248.6,234.7,269.9,275.3,274.0,273.0,[27],248.9,3106.5
